,0,1,2,3,4,5,6,7
0,003342.png,1242,375,Car,578.37,182.11,612.82,210.45
1,003342.png,1242,375,Car,739.46,176.99,949.14,249.35
2,003342.png,1242,375,Car,728.51,178.88,903.22,239.10
3,003342.png,1242,375,Car,696.37,179.56,822.91,222.66
4,003342.png,1242,375,Car,722.21,177.10,863.34,232.88
5,000113.png,1242,375,Car,1077.71,205.78,1241.00,374.00
6,000113.png,1242,375,Car,924.07,136.19,1241.00,374.00
7,000113.png,1242,375,Van,530.61,162.61,585.88,223.22
8,000113.png,1242,375,Van,833.86,127.39,1087.03,223.36
9,000113.png,1242,375,Car,318.14,182.80,401.33,229.76
10,000113.png,1242,375,Car,214.55,166.45,318.87,230.67
11,000113.png,1242,375,Car,455.90,171.22,499.06,205.38
12,000113.png,1242,375,Car,692.53,171.83,770.72,215.35
13,000113.png,1242,375,Car,573.97,163.73,607.83,193.30
14,000113.png,1242,375,Van,610.16,149.12,646.04,187.52
15,000113.png,1242,375,Car,745.82,166.87,827.42,212.81
16,000113.png,1242,375,Van,1119.45,132.29,1241.00,202.96
17,000113.png,1242,375,Truck,566.29,136.24,602.63,190.21
18,000113.png,1242,375,Misc,93.41,199.77,259.30,236.34
19,000113.png,1242,375,Car,37.15,187.20,172.25,237.32
20,000113.png,1242,375,Car,0.00,192.82,32.87,233.67
21,000113.png,1242,375,Misc,0.00,191.00,79.64,233.33
22,000113.png,1242,375,Misc,0.00,173.43,36.44,215.69
23,000028.png,1224,370,Pedestrian,147.29,156.22,205.29,309.43
24,000483.png,1242,375,Car,618.28,175.23,687.01,239.90
25,000483.png,1242,375,Car,819.32,173.48,1055.85,300.28
26,000483.png,1242,375,Car,23.58,191.67,335.55,316.88
27,000483.png,1242,375,Car,521.48,171.38,571.92,208.69
28,000483.png,1242,375,Car,186.30,183.78,335.75,248.62
29,000483.png,1242,375,Car,411.36,182.32,488.84,216.78
30,000483.png,1242,375,Car,673.08,170.65,719.89,196.26
31,000483.png,1242,375,Car,709.97,170.90,733.26,187.64
32,000483.png,1242,375,Car,0.00,188.34,180.35,254.08
33,000483.png,1242,375,DontCare,740.64,171.44,758.13,186.49
34,000483.png,1242,375,DontCare,764.77,176.06,808.56,184.44
35,007073.png,1224,370,Pedestrian,707.75,141.61,789.20,326.54
36,005994.png,1224,370,Car,571.86,149.26,623.31,204.10
37,005994.png,1224,370,Pedestrian,287.39,155.58,338.05,325.09
38,005994.png,1224,370,Pedestrian,229.41,154.54,292.08,333.45
39,005994.png,1224,370,Pedestrian,366.46,163.65,390.46,224.86
40,005994.png,1224,370,DontCare,512.32,162.40,523.65,188.12
41,003028.png,1224,370,Pedestrian,326.70,154.18,367.87,240.03
42,003028.png,1224,370,Pedestrian,347.62,154.98,380.87,236.28
43,003028.png,1224,370,Van,666.65,156.64,817.15,227.70
44,003028.png,1224,370,Car,1165.45,167.88,1221.09,196.56
45,000333.png,1224,370,Car,0.00,201.57,304.10,369.00
46,000333.png,1224,370,Cyclist,991.72,147.37,1029.68,217.41
47,000333.png,1224,370,Car,503.21,169.49,592.05,206.89
48,000333.png,1224,370,Misc,189.41,171.67,261.46,247.53
49,000333.png,1224,370,Car,0.00,184.62,123.26,272.67
50,000333.png,1224,370,DontCare,879.24,153.15,907.02,196.34
51,002195.png,1238,374,Car,472.93,173.72,554.20,231.64
52,002195.png,1238,374,Car,528.13,171.91,571.35,206.71
53,002195.png,1238,374,Car,602.75,168.93,640.68,203.52
54,002195.png,1238,374,Van,387.77,160.02,476.11,222.98
55,002195.png,1238,374,Car,567.59,166.44,597.80,193.01
56,006179.png,1242,375,Car,0.00,206.55,343.84,374.00
57,006179.png,1242,375,Van,300.37,117.83,513.16,309.59
58,006179.png,1242,375,Car,779.59,165.08,1241.00,333.71
59,006179.png,1242,375,Car,0.00,209.20,220.58,374.00
60,006179.png,1242,375,Car,663.50,164.74,867.12,248.11
61,006179.png,1242,375,Van,474.12,160.20,563.08,236.12
62,006179.png,1242,375,Car,160.24,194.25,353.62,305.11
63,006179.png,1242,375,Car,641.45,175.99,683.32,212.32
64,006179.png,1242,375,Car,626.56,173.73,664.73,208.73
65,006179.png,1242,375,Pedestrian,580.53,171.82,589.03,192.86
66,006179.png,1242,375,Pedestrian,585.47,172.96,592.47,193.40
67,006179.png,1242,375,Car,546.01,173.92,563.50,192.40
68,004097.png,1242,375,Car,565.53,173.75,618.82,225.33
69,004097.png,1242,375,Car,527.81,172.89,545.03,186.28
70,004097.png,1242,375,DontCare,1034.30,178.27,1108.98,200.56
71,004097.png,1242,375,DontCare,709.28,166.62,769.41,184.06
72,000807.png,1242,375,Car,345.19,185.83,402.41,214.58
73,000807.png,1242,375,Truck,166.62,140.93,302.48,226.28
74,000807.png,1242,375,Truck,264.54,145.99,359.26,212.89
75,000807.png,1242,375,DontCare,417.90,163.56,457.52,199.02
76,000807.png,1242,375,DontCare,490.81,179.19,555.43,189.65
77,000807.png,1242,375,DontCare,546.02,176.06,579.39,184.44
78,000072.png,1242,375,Car,0.00,178.54,117.72,228.38
79,000072.png,1242,375,Car,290.87,187.34,464.10,288.52
80,000072.png,1242,375,Car,590.87,174.23,629.98,213.19
81,000072.png,1242,375,DontCare,481.96,162.69,497.97,179.05
82,006853.png,1241,376,Car,573.93,172.95,610.80,206.56
83,006853.png,1241,376,Car,0.00,194.57,343.85,375.00
84,006853.png,1241,376,Car,124.46,176.39,292.03,261.43
85,006853.png,1241,376,Car,345.17,183.28,461.49,251.92
86,006853.png,1241,376,Car,305.71,181.61,396.67,227.12
87,006853.png,1241,376,Car,448.99,182.84,509.88,222.60
88,006853.png,1241,376,Misc,507.20,166.27,544.22,206.26
89,006853.png,1241,376,Van,0.00,161.84,62.65,266.56
90,006853.png,1241,376,Car,214.36,175.91,310.88,224.43
91,003336.png,1242,375,Pedestrian,300.58,172.26,334.92,272.39
92,003336.png,1242,375,Truck,417.42,132.04,718.66,219.10
93,003336.png,1242,375,Car,558.89,178.02,587.38,197.47
94,003336.png,1242,375,Car,511.80,178.85,545.33,198.60
95,003336.png,1242,375,Car,578.04,176.72,601.06,194.63
96,003336.png,1242,375,Car,534.18,179.60,562.18,196.31
97,003336.png,1242,375,DontCare,43.81,187.00,95.85,213.82
98,003336.png,1242,375,DontCare,734.67,173.42,750.49,186.00
99,003336.png,1242,375,DontCare,0.00,193.47,13.88,209.94
100,006897.png,1242,375,Car,0.00,186.14,210.51,368.00
101,006897.png,1242,375,Car,78.46,159.14,363.20,283.48
102,006897.png,1242,375,Car,734.55,192.57,988.15,355.34
103,006897.png,1242,375,Car,669.51,178.67,753.27,247.12
104,006897.png,1242,375,Car,194.74,185.67,400.23,267.38
105,006897.png,1242,375,Car,278.28,181.73,456.08,244.83
106,006897.png,1242,375,Car,654.14,184.57,714.00,227.08
107,006897.png,1242,375,Car,643.35,179.37,682.80,215.35
108,006897.png,1242,375,Car,440.89,175.59,510.04,213.95
109,006897.png,1242,375,DontCare,494.98,177.10,590.86,211.52
110,006897.png,1242,375,DontCare,596.02,177.10,638.77,192.77
111,001397.png,1224,370,Pedestrian,638.42,154.34,717.07,321.11
112,005595.png,1242,375,Car,0.00,173.90,133.21,374.00
113,005595.png,1242,375,Car,0.00,171.68,136.87,328.23
114,005595.png,1242,375,Car,0.00,169.99,289.89,296.44
115,005595.png,1242,375,Car,105.32,165.02,294.72,269.98
116,005595.png,1242,375,Car,184.04,173.46,439.21,256.31
117,005595.png,1242,375,Van,192.40,115.35,470.29,246.62
118,005595.png,1242,375,Car,699.46,182.19,842.39,276.84
119,005595.png,1242,375,Car,794.06,177.07,945.37,237.90
120,005595.png,1242,375,Car,631.01,174.12,654.84,191.86
121,005595.png,1242,375,Car,675.94,172.23,747.50,199.33
122,005595.png,1242,375,Misc,950.56,201.42,1207.87,374.00
123,005595.png,1242,375,DontCare,433.76,167.44,592.33,209.32
124,005595.png,1242,375,DontCare,596.92,165.75,641.42,181.08
125,005506.png,1242,375,Car,479.58,176.31,524.90,200.17
126,005506.png,1242,375,Car,713.96,175.80,738.73,197.75
127,005506.png,1242,375,DontCare,393.94,176.06,436.69,193.81
128,005506.png,1242,375,DontCare,647.06,169.81,702.31,186.52
129,005506.png,1242,375,DontCare,597.06,171.90,608.56,191.73
130,005506.png,1242,375,DontCare,838.73,165.65,942.94,184.44
131,005506.png,1242,375,DontCare,775.19,168.77,786.69,186.52
132,006528.png,1242,375,Cyclist,225.06,160.06,317.63,290.70
133,006528.png,1242,375,Cyclist,283.20,165.46,356.20,265.66
134,006528.png,1242,375,Van,460.60,148.10,560.34,222.22
135,006528.png,1242,375,Person_sitting,0.00,191.59,43.29,273.31
136,006528.png,1242,375,Pedestrian,1182.03,238.11,1241.00,374.00
137,006528.png,1242,375,Person_sitting,185.23,187.76,235.86,245.92
138,006528.png,1242,375,Cyclist,620.85,170.81,663.00,220.87
139,006528.png,1242,375,Pedestrian,949.14,164.91,973.78,231.10
140,006528.png,1242,375,Pedestrian,889.71,165.17,912.60,225.59
141,006528.png,1242,375,Person_sitting,809.88,177.21,852.69,219.97
142,006528.png,1242,375,Person_sitting,800.32,179.72,844.20,217.76
143,006528.png,1242,375,Car,386.96,177.58,467.50,205.14
144,006528.png,1242,375,DontCare,1066.90,180.23,1187.78,307.35
145,006528.png,1242,375,DontCare,772.06,167.73,786.68,188.60
146,005753.png,1242,375,Car,618.68,175.95,648.15,195.36
147,000975.png,1242,375,Car,575.29,183.93,637.95,243.87
148,000975.png,1242,375,Van,0.00,143.60,82.79,374.00
149,000975.png,1242,375,Car,396.19,187.10,443.77,211.39
150,000975.png,1242,375,Car,469.13,183.73,494.30,200.47
151,000975.png,1242,375,Car,632.69,178.16,672.28,195.63
152,000975.png,1242,375,DontCare,506.44,173.98,566.90,187.56
153,001167.png,1242,375,Pedestrian,742.17,173.56,756.70,214.14
154,001167.png,1242,375,Car,286.97,181.64,356.33,215.70
155,001167.png,1242,375,DontCare,596.89,174.06,606.89,180.82
156,001167.png,1242,375,DontCare,769.31,173.90,1062.72,245.11
157,001167.png,1242,375,DontCare,671.28,168.89,715.56,198.29
158,001167.png,1242,375,DontCare,645.92,173.92,665.92,184.59
159,001167.png,1242,375,DontCare,612.69,172.94,630.44,185.48
160,001167.png,1242,375,DontCare,543.94,176.06,556.48,183.39
161,005365.png,1242,375,Car,178.63,188.30,251.56,236.72
162,005365.png,1242,375,Car,148.14,190.59,212.81,233.55
163,005365.png,1242,375,Car,117.84,190.22,157.31,219.99
164,005365.png,1242,375,Car,214.89,187.93,313.37,251.93
165,005365.png,1242,375,DontCare,38.98,181.84,105.01,208.72
166,005406.png,1242,375,Car,790.78,203.61,1241.00,374.00
167,005406.png,1242,375,Car,444.64,185.43,548.31,267.79
168,005406.png,1242,375,Car,509.24,168.41,584.89,240.55
169,005406.png,1242,375,Car,555.98,174.47,614.24,227.27
170,005406.png,1242,375,Car,623.05,182.47,666.52,209.79
171,005406.png,1242,375,DontCare,658.52,177.10,720.02,204.22
172,005597.png,1242,375,Car,536.05,173.58,563.77,200.01
173,004795.png,1242,375,Car,725.56,172.54,771.46,201.77
174,004795.png,1242,375,Truck,7.01,133.66,312.15,225.23
175,005461.png,1242,375,Car,990.32,182.94,1241.00,374.00
