,0,1,2,3,4,5
0,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_1.jpg,1,158,124,88,40
1,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_10.jpg,1,172,43,130,47
2,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_100.jpg,1,190,85,119,31
3,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_101.jpg,1,158,26,168,25
4,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_102.jpg,1,145,10,154,13
5,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_103.jpg,1,162,107,125,43
6,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_105.jpg,1,167,106,135,60
7,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_106.jpg,1,189,125,123,34
8,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_107.jpg,1,123,42,135,38
9,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_108.jpg,1,150,22,168,7
10,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_109.jpg,1,195,64,72,3
11,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_11.jpg,1,109,50,81,44
12,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_110.jpg,1,98,14,113,5
13,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_111.jpg,1,189,133,118,52
14,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_112.jpg,1,197,51,152,7
15,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_113.jpg,1,141,105,103,50
16,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_114.jpg,1,122,77,97,33
17,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_115.jpg,1,175,106,106,31
18,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_116.jpg,1,167,47,85,19
19,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_117.jpg,1,97,32,124,56
20,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_118.jpg,1,172,0,135,15
21,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_119.jpg,1,116,29,135,38
22,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_12.jpg,1,141,62,85,37
23,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_120.jpg,1,139,52,100,47
24,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_121.jpg,1,180,62,132,12
25,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_122.jpg,1,207,145,80,8
26,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_123.jpg,1,149,68,148,54
27,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_124.jpg,1,139,59,87,42
28,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_125.jpg,1,176,96,109,14
29,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_126.jpg,1,91,39,96,46
30,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_127.jpg,1,150,80,183,137
31,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_128.jpg,1,74,20,100,13
32,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_129.jpg,1,169,76,100,42
33,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_13.jpg,1,199,132,76,20
34,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_130.jpg,1,171,62,103,38
35,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_131.jpg,1,148,12,126,17
36,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_132.jpg,1,124,89,120,71
37,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_133.jpg,1,70,20,102,22
38,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_134.jpg,1,174,33,157,0
39,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_135.jpg,1,172,13,124,25
40,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_136.jpg,1,152,70,70,17
41,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_137.jpg,1,142,83,102,20
42,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_138.jpg,1,169,112,125,40
43,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_139.jpg,1,101,47,113,40
44,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_14.jpg,1,168,109,73,31
45,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_140.jpg,1,144,103,103,58
46,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_141.jpg,1,158,17,153,47
47,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_142.jpg,1,154,75,123,33
48,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_143.jpg,1,184,71,126,9
49,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_144.jpg,1,106,40,102,9
50,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_145.jpg,1,112,64,105,43
51,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_146.jpg,1,162,26,119,25
52,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_148.jpg,1,206,135,130,46
53,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_149.jpg,1,155,69,149,23
54,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_15.jpg,1,202,7,189,8
55,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_150.jpg,1,219,71,189,10
56,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_151.jpg,1,135,104,104,58
57,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_152.jpg,1,177,81,106,17
58,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_153.jpg,1,183,155,137,65
59,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_154.jpg,1,161,62,124,22
60,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_155.jpg,1,82,22,129,26
61,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_156.jpg,1,183,126,107,16
62,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_157.jpg,1,132,38,121,0
63,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_158.jpg,1,155,68,137,0
64,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_159.jpg,1,69,19,75,13
65,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_16.jpg,1,205,168,89,35
66,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_160.jpg,1,170,122,123,59
67,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_161.jpg,1,164,78,93,0
68,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_164.jpg,1,116,84,160,113
69,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_165.jpg,1,79,10,125,33
70,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_166.jpg,1,75,20,89,8
71,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_167.jpg,1,170,70,132,24
72,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_168.jpg,1,102,20,149,31
73,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_169.jpg,1,190,31,153,7
74,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_17.jpg,1,110,30,104,50
75,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_170.jpg,1,155,125,85,38
76,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_172.jpg,1,207,146,77,7
77,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_173.jpg,1,173,134,85,26
78,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_174.jpg,1,161,45,149,13
79,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_175.jpg,1,64,23,120,15
80,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_176.jpg,1,136,36,83,7
81,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_177.jpg,1,109,50,81,44
82,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_178.jpg,1,170,43,146,6
83,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_179.jpg,1,156,62,80,11
84,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_18.jpg,1,209,90,127,38
85,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_180.jpg,1,71,11,69,7
86,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_181.jpg,1,81,31,82,44
87,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_182.jpg,1,181,100,132,0
88,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_183.jpg,1,161,78,152,44
89,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_184.jpg,1,213,151,204,120
90,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_185.jpg,1,142,15,177,0
91,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_19.jpg,1,75,23,54,8
92,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_190.jpg,1,102,33,103,30
93,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_191.jpg,1,200,112,184,64
94,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_192.jpg,1,178,99,140,6
95,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_193.jpg,1,200,92,151,4
96,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_195.jpg,1,148,10,90,4
97,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_196.jpg,1,68,41,137,98
98,C:\Users\mayank\Documents\Datasets\single_object_detection\images\Abyssinian_197.jpg,1,206,1,135,0
99,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_10.jpg,0,147,46,179,31
100,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_100.jpg,0,129,91,135,70
101,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_101.jpg,0,142,75,119,23
102,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_102.jpg,0,166,104,86,39
103,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_103.jpg,0,141,75,101,53
104,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_104.jpg,0,161,43,170,19
105,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_105.jpg,0,168,74,162,49
106,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_106.jpg,0,110,2,68,4
107,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_107.jpg,0,162,51,100,30
108,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_108.jpg,0,147,54,118,59
109,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_109.jpg,0,169,98,114,69
110,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_11.jpg,0,146,68,151,39
111,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_110.jpg,0,161,100,128,46
112,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_111.jpg,0,152,42,185,10
113,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_112.jpg,0,145,43,92,28
114,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_113.jpg,0,199,75,164,10
115,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_114.jpg,0,132,57,123,31
116,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_115.jpg,0,133,81,116,32
117,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_116.jpg,0,175,90,74,16
118,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_117.jpg,0,153,51,99,30
119,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_118.jpg,0,195,80,176,92
120,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_119.jpg,0,171,89,84,35
121,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_12.jpg,0,179,81,172,40
122,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_120.jpg,0,115,47,130,42
123,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_121.jpg,0,185,137,113,67
124,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_122.jpg,0,148,75,108,12
125,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_123.jpg,0,155,94,93,59
126,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_124.jpg,0,186,66,124,34
127,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_125.jpg,0,160,36,112,5
128,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_126.jpg,0,177,78,68,3
129,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_127.jpg,0,115,68,143,75
130,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_128.jpg,0,120,68,121,29
131,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_129.jpg,0,205,96,83,14
132,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_13.jpg,0,164,0,203,0
133,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_130.jpg,0,198,16,132,5
134,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_131.jpg,0,144,37,190,61
135,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_132.jpg,0,224,11,169,34
136,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_133.jpg,0,176,95,140,18
137,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_134.jpg,0,144,74,111,20
138,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_135.jpg,0,162,127,85,38
139,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_136.jpg,0,154,38,152,63
140,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_137.jpg,0,141,100,114,53
141,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_138.jpg,0,150,44,141,84
142,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_139.jpg,0,146,83,103,63
143,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_14.jpg,0,165,41,204,13
144,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_140.jpg,0,202,12,208,0
145,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_141.jpg,0,179,18,128,38
146,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_142.jpg,0,215,56,110,15
147,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_143.jpg,0,217,99,168,16
148,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_144.jpg,0,148,65,132,26
149,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_146.jpg,0,218,14,173,50
150,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_147.jpg,0,141,114,92,47
151,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_148.jpg,0,155,60,164,73
152,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_149.jpg,0,136,78,121,79
153,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_15.jpg,0,193,36,112,18
154,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_150.jpg,0,174,52,196,23
155,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_151.jpg,0,186,25,186,17
156,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_152.jpg,0,189,59,201,8
157,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_153.jpg,0,211,19,194,1
158,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_158.jpg,0,172,0,222,0
159,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_16.jpg,0,88,53,77,29
160,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_161.jpg,0,196,2,224,0
161,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_164.jpg,0,81,52,115,45
162,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_166.jpg,0,203,0,199,43
163,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_167.jpg,0,120,83,145,103
164,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_168.jpg,0,138,6,168,69
165,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_169.jpg,0,188,17,218,57
166,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_171.jpg,0,155,72,76,17
167,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_172.jpg,0,218,8,150,6
168,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_173.jpg,0,220,69,168,30
169,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_174.jpg,0,219,81,202,10
170,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_175.jpg,0,194,16,200,40
171,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_176.jpg,0,153,84,176,75
172,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_177.jpg,0,175,82,167,14
173,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_178.jpg,0,143,83,104,21
174,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_179.jpg,0,185,17,209,6
175,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_18.jpg,0,142,78,138,59
176,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_180.jpg,0,186,20,224,15
177,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_181.jpg,0,159,54,165,20
178,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_182.jpg,0,170,29,209,7
179,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_183.jpg,0,128,65,151,77
180,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_184.jpg,0,163,54,211,43
181,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_185.jpg,0,196,57,180,14
182,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_186.jpg,0,172,44,193,103
183,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_187.jpg,0,141,15,170,55
184,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_188.jpg,0,217,105,205,107
185,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_189.jpg,0,223,36,136,42
186,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_19.jpg,0,191,29,207,4
187,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_190.jpg,0,175,61,175,37
188,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_191.jpg,0,119,56,102,45
189,C:\Users\mayank\Documents\Datasets\single_object_detection\images\american_bulldog_192.jpg,0,106,30,197,68
